Review #,Brand,Variety,Style,Country,Stars,T,code
381,Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,Vietnam,4.25,,VNM
1685,Wugudaochang,Chef's Grains Pea Noodle,Pack,China,4,,CHN
2317,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,3.5,,THA
1116,Tokyo Noodle,Mini Instant Noodles Artificial Chicken Flavor,Pack,Japan,5,,JPN
3744,Pamana,Instant Chicken Sotanghon,Cup,United States,3,,USA
497,Nissin,Demae Iccho Seafood & Abalone Macaroni,Pack,Japan,4,,JPN
2534,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,,JPN
1471,Mama,Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack,Pack,Thailand,5,,THA
1195,Sawadee,Instant Noodles Spicy Tomato Flavour,Pack,Malaysia,2.5,,MYS
2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,,CHN
1421,Nongshim,Korean Clay Pot Ramyun Noodle,Cup,China,2.75,,CHN
1906,Vifon,Chicken Flavour Asian Style Instant Noodles,Pack,Vietnam,3.5,,VNM
3261,Kikusui,Shirakaba Sansou Miso Ramen,Box,Japan,4.5,,JPN
923,Ibumie,LadMee Hot Pepper,Pack,Malaysia,3.5,,MYS
1739,Nissin,Raoh Tanrei Koku Shio Ramen,Bowl,Japan,4.5,,JPN
3221,Samyang Foods,Buldak Topokki Hot Chicken Flavor Ramen,Pack,South Korea,5,,KOR
2546,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,,JPN
637,Snapdragon,Chinese Mushroom Rice Noodle,Cup,Singapore,2.5,,SGP
1855,Daraz,Negi Man Ramen,Pack,Japan,3,,JPN
713,Nissin,Spoon-it Creamy Chicken,Pack,United States,4,,USA
11,Six Fortune,Chicken Flavor Instant Soup Noodle,Pack,South Korea,2,,KOR
76,Indomie,Meatball Flavor,Pack,Indonesia,2.5,,IDN
1816,Vifon,Asian Style Instant Noodles Artificial Beef Flavor,Bowl,Vietnam,3.25,,VNM
1275,Wu-Mu,Ramen With Stewed Pork Flavor,Pack,Taiwan,4.5,,CHN
897,FMF,Chow Masala,Pack,Fiji,4,,FJI
1458,Nissin,Premium Instant Noodles Roasted Beef Flavour,Bowl,Singapore,3.75,,SGP
1740,Master Kong,Braised Beef Noodle,Pack,China,4.25,,CHN
440,Maruchan,Instant Lunch Hot spicy Beef,Cup,United States,2.75,,USA
623,Wei Wei,"""A"" Series Vegetarian",Pack,Taiwan,3.25,,CHN
27,Nissin,Demae Ramen Curry Flavor,Pack,Japan,4,,JPN
162,Myojo,Chukazanmai Oriental,Pack,Japan,3.75,,JPN
1287,Kimura,Kumamoto Tonkotsu Ramen,Pack,Japan,5,,JPN
1228,Maruchan,Seimen Japanese Instant Ramen Noodles Shio Aji,Pack,Japan,3.75,,JPN
2249,Love Cook,Sun Dried Noodle - Fruity Soy Bean Paste,Pack,Taiwan,3.75,,CHN
1790,Super,Kimchi,Cup,Malaysia,4.5,,MYS
1862,Ibumie,Always Mi Goreng Perisa Asli,Pack,Malaysia,3.75,,MYS
3571,Sau Tao,Jiangnan Style Noodle - XO Shallot Sauce,Pack,Hong Kong,4.5,,HKG
3109,Wu Mu,Jing Xiang Ban Mian Ramen Soup - Chili Beef Flavor,Pack,Taiwan,5,,CHN
3699,Sau Tao,Jiangnan Style Noodle - Original Flavour,Pack,Hong Kong,4.5,,HKG
2500,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,,MYS
188,Nongshim,Udon,Pack,South Korea,4,,KOR
165,Doll,Sesame Oil,Pack,Hong Kong,3.5,,HKG
556,Mi Sedaap,Mi Goreng Perisa Asli,Pack,Indonesia,4.75,,IDN
1624,Baixiang Noodles,Artificial Pork Flavour,Pack,China,3,,CHN
2993,Wugudaochang,Tomato Sirloin Instant Broad Noodles,Bowl,China,5,,CHN
3033,TTL,Bolognese Red Wine Sauce,Pack,Taiwan,4,,CHN
3566,Hakubaku,Restaurant Style Fresh Ramen Umami Chicken Shio,Pack,United States,5,,USA
29,Mee Jang,Tom Yum Shrimp,Bowl,Thailand,3.5,,THA
3892,Maruchan,Niku Soba,Cup,Japan,3.25,,JPN
1047,New Touch,Yakisoba Noodle,Tray,Japan,4,,JPN
3166,Kinchan,Niku Udon With Wakame,Cup,Japan,3.75,,JPN
614,Fuku,Superior Soup Rice Noodle,Pack,Hong Kong,2.5,,HKG
1865,Mama,Shrimp Tom Yum Flavour Cup Noodles,Cup,Myanmar,3.5,,MMR
796,Vina Acecook,Kingcook Vegetable,Pack,Vietnam,3,,VNM
2659,Alhami,Instant Noodle Beef Flavour,Pack,Indonesia,3.5,,IDN
2901,Island Foods,Tokyo Ramen - Setagaya,Box,Japan,4.5,,JPN
3096,Prima Taste,Singapore Black Pepper Crab Flavoured La Mian,Pack,Singapore,5,,SGP
780,Ottogi,Jin Ramen (Mild) (Import),Pack,South Korea,3.5,,KOR
1198,Samyang Foods,Maesaengyitangmyun Baked Noodle,Pack,South Korea,5,,KOR
3932,Single Grain,Chongqing Noodles,Cup,China,5,,CHN
2883,Taihodien Restaurant,Supreme Spicy Noodle,Pack,Taiwan,2,,CHN
198,Shirakiku,Sanukiya Somen,Bowl,Japan,4.25,,JPN
2259,Farmer's Heart,Pho Beef Flavor Vietnamese Rice Noodle Soup,Bowl,United States,3.75,,USA
3345,Peyoung,Phakchi Lemon Ramen,Bowl,Japan,3.5,,JPN
22,Nongshim,Ansungtangmyun Noodle Soup,Pack,South Korea,3.75,,KOR
499,Dragonfly,Artificial Beef,Bowl,China,4.75,,CHN
3606,Thien Huong Food,Lemon Chicken Flavor Instant Noodles,Pack,Vietnam,3.5,,VNM
656,Nissin,Ramen Bowl Hot & Spicy,Bowl,United States,3.75,,USA
1704,Baixiang Noodles,Sour & Spicy Flavour,Pack,China,3.75,,CHN
2781,Mr. Noodle,Onions Mushroom Spice Taste Noodle,Pack,Taiwan,4.5,,CHN
2556,Ching's Secret,Hot Garlic Instant Noodles,Pack,India,4.25,,IND
235,Koka,Curry,Pack,Singapore,4.25,,SGP
1841,Forest Noodles,Sunbaked Noodles With Spicy Sauce,Pack,Taiwan,4,,CHN
730,Indomie,Rasa Soto Banjar Limau Kulit,Pack,Indonesia,5,,IDN
1222,Nissin,Soba Classic Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.75,,DEU
3547,Nissin,Miojo Lamen Sabor Galinha Caipira,Pack,Brazil,3.5,,BRA
3246,Cigala,Banzai Noodle Sabor Caril,Cup,Portugal,2,,PRT
709,Nissin,Chow Mein Spicy Chicken,Tray,United States,3.25,,USA
776,Sarimi,Isi 2 Rasa Kari spesial,Pack,Indonesia,3.75,,IDN
3054,Xiao Ban Mian,Spicy Meat Paste Flavor Noodle,Pack,Taiwan,5,,CHN
2524,Nissin,Straits Reborn Laksa,Pack,Singapore,5,,SGP
793,Mr. Noodles,Spicy Beef,Pack,Canada,1.75,,CAN
80,Unif / Tung-I,Artificial Chicken,Pack,Taiwan,3.5,,CHN
754,Nongshim,Ansungtangmyun (US Version),Pack,United States,3.75,,USA
3159,Sichuan Baijia,Big Boss Hot & Sour Sweet Potato Vermicelli,Cup,China,1.5,,CHN
3427,Samyang Foods,Buldak Light,Pack,South Korea,5,,KOR
816,Vina Acecook,Oh! Ricey Phnom Penh Rice Noodle,Pack,Vietnam,3.75,,VNM
3708,MyKuali,Spicy Fried Noodle MeeKuali Pedas,Pack,Malaysia,5,,MYS
2034,Fantastic,Noodles Oriental Flavour,Cup,Australia,3.25,,AUS
3368,Paldo,Mr. Kimchi Kimchi Ramen,Pack,South Korea,4,,KOR
3711,Single Grain,Spicy Sichuan Pepper Instant Noodle,Cup,China,5,,CHN
3533,Gu Sister,Clam Flavor Bean Vermicelli,Cup,China,4.5,,CHN
3244,Yamachan,Ramen Z Miso Flavor Ramen,Pack,United States,3.75,,USA
3108,Culley's,World's Hottest Ramen Noodles,Box,New Zealand,3,,NZL
214,Maruchan,Yakisoba Teriyaki Beef,Tray,United States,2,,USA
64,Sapporo Ichiban,Chicken Flavor,Pack,United States,3.5,,USA
3521,Maruchan,Sesame Tan Tan Udon,Bowl,Japan,5,,JPN
3243,Sapporo Ichiban,Pickles Kimchi Chige Ramen,Cup,Japan,4.5,,JPN
2137,Nissin,Demae Ramen Spicy Curry Flavour Instant Noodles,Pack,Hong Kong,4.25,,HKG
1319,Adabi,Mi Segera Kari Ayam Instant Noodles,Pack,Malaysia,4.25,,MYS
2055,Nissin,Tokyo Tokunou Gyokai Tonkotsu,Bowl,Japan,5,,JPN
2072,Maruchan,Bowl Taste Of Asia Beef Flavor Sukiyaki Ramen,Bowl,United States,5,,USA
2291,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,3.5,,KOR
1187,Nongshim,Shin Ramyun Cup,Cup,South Korea,3.5,,KOR
42,Ve Wong,Kung-Fu Chicken Flavor,Pack,Vietnam,2.75,,VNM
86,Unif / Tung-I,Onion Flavor,Pack,Taiwan,3.65,,CHN
1277,Vifon,Mì Gà Tìm Chua Cay Hot & Sour Chicken Flavor Instant Noodles,Pack,Vietnam,2,,VNM
1756,A-Sha Dry Noodle,Veggie Noodle Carrot Noodle With Original Sauce,Pack,Taiwan,4.25,,CHN
1577,Mama,Pork Flavour Whole Wheat Noodle,Pack,Thailand,3.75,,THA
315,Unif,Super Bowl Artificial Spicy Beef,Bowl,Taiwan,2.75,,CHN
2389,Gefen,Imitation Chicken Flavor,Cup,United States,4,,USA
1130,Nissin,Big Cup Noodles Habanero Lime Shrimp Flavor Ramen Noodle Soup,Cup,United States,3.5,,USA
2990,Nissin Miojo,Turma Da Monica Sabor Tomate Suave,Pack,Brazil,4.25,,BRA
3722,TTL,Table Wine Carved Chicken Noodle Bowl,Bowl,Taiwan,5,,CHN
1493,Maruchan,Magomi-an Kitsune Udon (Eastern Japan Flavor),Bowl,Japan,4.25,,JPN
3143,Sau Tao,Tom Yum Kung Flavour Rice Vermicelli,Pack,Hong Kong,3.75,,HKG
3013,Kinchan,Shoyu Tonkotsu,Cup,Japan,3.75,,JPN
651,Mi Sedaap,Mi Segera Mi Sup Perisa Kari Ayam,Pack,Indonesia,4,,IDN
3336,Nissin ,Top Ramen Chicken Flavor Bowl,Bowl,United States,3.5,,USA
2861,Wu-Mu,Man Dashi Noodle Master Sichuan Pepper Dry Ramen,Pack,Taiwan,5,,CHN
41,Little Cook,Pork Mustard Stem,Bowl,Thailand,0.5,,THA
2064,Nongshim,Arrabiata Rice Bucatini,Pack,United States,5,,USA
2743,Nongshim,Nongshim Korean Clay Pot Ramyun,Bowl,China,3.5,,CHN
2383,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,United States,3.5,,USA
3704,A-Sha,Hakka Noodle Chilli Sauce ,Pack,Taiwan,4.5,,CHN
3764,Wai Wai,Quick Instant Noodles Chicken Curry Flavor,Pack,Serbia,1,,SRB
1263,Nissin,Cup Noodle Curry X Gunpla RX-78-2 Gundam,Cup,Japan,4.25,,JPN
904,Myojo,Ippei-chan Yomise-No Yakisoba Oriental,Tray,Japan,4.75,,JPN
2960,Soup Daren,Spicy Pork Bone Noodle,Bowl,China,5,,CHN
2652,Maitri,Vegetarian Rasa Soto,Pack,Indonesia,4.25,,IDN
3771,Doll,Ramen Noodles Pickled Vegetable Flavour,Pack,Hong Kong,3.5,,HKG
3532,Boys & Girls,Steam Noodle Tomato & Egg Flavor,Cup,China,5,,CHN
1584,E-mi,Mi Perencah Asam Pedas,Pack,Malaysia,3.75,,MYS
2847,Nissin,Spice Kitchen Phakchist Curry Pho Soup,Cup,Japan,3.5,,JPN
1012,Unox,Good Noodles Oosterse Kip (Oriental Chicken),Pack,Holland,3.5,,NLD
940,Wai Wai,Sour Soup Flavor,Pack,Thailand,3.5,,THA
2742,Sapporo Ichiban,Akita Kiritanpo Ramen,Cup,Japan,4.75,,JPN
869,Vina Acecook,Good Chicken Bean Vermicelli,Pack,Vietnam,3.25,,VNM
2780,Mr. Noodle,Pesto Sesame Noodles,Pack,Taiwan,2,,CHN
2492,Nissin,Smack Chili,Pack,Hungary,3.75,,HUN
2520,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5,,SGP
1479,Nissin,Cup Noodles Easy Fideos Tomato Chicken Flavor Ramen Noodle Soup,Cup,United States,3.5,,USA
2035,Acecook,Maru Uma Curry Udon,Cup,Japan,3.5,,JPN
3257,Samyang Foods,Buldak Hot Chicken Flavor Topokki,Bowl,South Korea,4,,KOR
2994,Sapporo Ichiban,Ise Ebi Soup Noodles,Cup,Japan,2.5,,JPN
3622,Sau Tao,Tom Yum Kung Flavour Trolley Noodle,Bowl,Hong Kong,5,,HKG
2023,Urban Noodle,Authentic Street Food Black Bean,Cup,UK,0,,GBR
437,Nongshim,Big Bowl Spicy Kimchi,Bowl,South Korea,3.25,,KOR
3457,Samyang Foods,Buldak Corn HOT Chicken Flavor Ramen,Pack,South Korea,4.5,,KOR
2152,Jingqi,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,Pack,Taiwan,5,,CHN
1026,Samyang Foods,Bajirak Kalgugsu,Pack,South Korea,3.75,,KOR
1245,Sau Tao,Instant Noodle King Abalone & Chicken Flavoured,Pack,Hong Kong,3.5,,HKG
1127,Campbell's,Hearty Noodles Chicken Flavour,Cup,Canada,2.75,,CAN
240,Sanyo Foods,Aunt Mentaiko Durum Spaghetti,Bowl,Japan,4.5,,JPN
2784,Samyang Foods,Jajang Buldak Bokkeummyun,Pack,South Korea,4,,KOR
269,Paldo,Spicy Shrimp Bowl,Bowl,South Korea,3.5,,KOR
3286,Pan Mee,Perisa Sup Nyonya Laksa Melaka,Pack,Malaysia,3.75,,MYS
676,Indomie,Spicy Coconut Shrimp,Pack,Indonesia,4.75,,IDN
3005,Samyang Foods,Chinese Style Bibimmyun,Pack,South Korea,3.75,,KOR
3760,Nongshim,Soon Chili Tomato Noodle Soup,Cup,United States,4.5,,USA
334,Nissin,Big Cup Noodles Beef,Cup,United States,2.125,,USA
740,Indomie,Mi Goreng Sate (Local),Pack,Indonesia,5,,IDN
1836,Vit's,Taste Of Malaysia Penang White Curry Fried Instant Noodle,Pack,Malaysia,5,,MYS
635,Ottogi,Buckwheat Bibim Ramyon,Pack,South Korea,1.1,,KOR
484,Ottogi,Bekse Curry Myon,Cup,South Korea,4.25,,KOR
2177,MAMA,Instant Rice Noodles Vegetable Flavour,Pack,Thailand,3.75,,THA
3233,Nissin,Soup'd Up Zesty Chicken Flavor,Cup,United States,2,,USA
1158,Nissin,Demae Iccho XO Sauce Seafood Flavour,Bowl,Hong Kong,4,,HKG
3772,"PLN Food Co, Ltd.",Vegetable Witrh Noodle,Pack,Taiwan,5,,CHN
3832,Igarashi Seimen,Kitakata Ramen Spicy Umakara,Pack,Japan,5,,JPN
3150,Hakubaku,Baby Somen,Pack,Japan,NR,,JPN
1957,MAMA,Cup Vegetarian Instant Noodles Tom Yum Flavour,Cup,Thailand,4,,THA
2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,,SGP
3809,Acecook,Healthy Wazen Mochi Wheat Men Katsu & Kombu Dashi,Bowl,Japan,3.75,,JPN
2634,Samyang Foods,Ramen Bokki,Cup,South Korea,4.5,,KOR
2467,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,,KOR
3742,"PLN Food Co, Ltd.",Sesame Paste Noodle,Pack,Taiwan,5,,CHN
3519,Ve Wong,Dah Wei Wang Instant Noodles Artificial House Beef Flavor,Bowl,Taiwan,2,,CHN
2909,Nissin,Cup Noodles Very Veggie Soy Sauce Flavor Ramen Noodle Soup,Cup,United States,5,,USA
1817,Hao Way,Penang Vegetarian Prawn Instant Bowl Noodles,Bowl,Malaysia,4,,MYS
3366,Maruchan,GOLD Soy Sauce Flavor Craft Noodle,Pack,United States,5,,USA
3747,Mom's Dry Noodle,Spicy Oil Dandan Noodle,Pack,Taiwan,5,,CHN
2555,Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,,KOR
1793,Cintan,Mi Segera Mmm... Perisa Asam Laksa,Pack,Malaysia,3.5,,MYS
853,Dongwon,RaUdong Unfried Noodle With Kimchi,Bowl,South Korea,4.5,,KOR
2806,Nissin,Cup Noodles Light Seafood Flavour,Cup,Hong Kong,5,,HKG
1835,Vit's,Taste Of Malaysia Penang Asam Laksa Ramen,Pack,Malaysia,5,,MYS
1160,Samyang Foods,Chacharoni,Pack,South Korea,3.75,,KOR
1424,Sainsbury's,Curry Flavour Instant Noodles,Pack,UK,1.5,,GBR
3404,Nongshim,Big Gomtang Instant Noodle Soup Mix,Bowl,South Korea,5,,KOR
1655,Baijia,Artificial Pickled Vegetable Beef Flavor,Pack,China,3,,CHN
3651,Tasty.ly,Cup Pasta Carbonara,Cup,Malaysia,3.5,,MYS
727,Indomie,Rasa Empal Gentong,Pack,Indonesia,4,,IDN
3582,Sau Tao,Hot & Sour Flavour Ramen,Pack,Hong Kong,4,,HKG
46,Indomie,Mi Goreng Jumbo Meatball,Pack,Indonesia,3,,IDN
3714,A-Sha,Dandan Noodle,Pack,Taiwan,5,,CHN
2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,,MYS
3602,ABC President,Mi Goreng Mi Instan Cup Stir Fry,Cup,Indonesia,5,,IDN
3289,Sanpo,Spicy Green Pepper Tonkotsu Ramen,Pack,Japan,5,,JPN
3640,Sau Tao,Mushroom Flavour Sichuan Spicy Noodle,Pack,Hong Kong,4.25,,HKG
2655,Alhami,Prawn Instant Noodles,Pack,Indonesia,2.75,,IDN
1060,Star Anise Foods,Happy Pho Vietnamese Brown Rice Noodle Soup Garlic Goodness,Pack,United States,3.75,,USA
257,Nissin,Cup Noodles Beef,Cup,United States,3.5,,USA
3864,Nissin,Demae Ramen Roast Artificial Beef,Pack,Hong Kong,3.5,,HKG
2961,Nissin,Cup Noodles Seafood Flavor,Cup,Philippines,3.75,,PHL
2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5,,CHN
3680,Rap Snacks,Icon Ramen Noodles Creamy Chicken Gumbo,Cup,United States,3,,USA
3846,Nissin,Cup Noodles Spiced Curry,Cup,Germany,3.25,,DEU
2439,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5,,CHN
2010,MAMA,Rangers Snack Noodles Popcorn Flavour,Pack,Myanmar,3.75,,MMR
3599,Sapporo Ichiban,Pokemon Noodle Udon Soy Sauce,Cup,Japan,3.25,,JPN
2431,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,United States,3.75,,USA
710,Saigon Ve Wong,Kung Fu Mixed Foods,Bowl,Vietnam,2.75,,VNM
2204,Nissin,Cup Noodles Sabor Galinha Caipira,Cup,Brazil,4.25,,BRA
1534,Vit's,Seafood Instant Noodles,Pack,Malaysia,3.75,,MYS
3838,Fujiwara,Kani Nochikara Miso Ramen,Pack,Japan,3.5,,JPN
2588,Sau Tao,Ho Fan Tomato Soup Flavored,Pack,Hong Kong,2.5,,HKG
1669,A-One,Mi Ly Instant Noodles Mi Chay Vegetarian Flavor,Cup,Vietnam,1.25,,VNM
337,Maruchan,Ramen Noodle Soup Creamy Chicken,Pack,United States,5,,USA
1288,Sau Tao,QQ Scallop Seafood Vermicelli,Bowl,Hong Kong,3.75,,HKG
3449,LMF,Hong Kong Chow Mein Tan Tan Flavor,Pack,China,2.5,,CHN
